transaction_id,date,client_id,banque,categorie,type,montant,solde_apres,ville,canal
TXN000063,2024-06-18,CLIENT_0108,LCL,Salaire,Crédit,2356.33,465.12,Paris,Mobile
TXN000064,2024-07-13,CLIENT_0193,LCL,Virement,Crédit,79.19,4952.26,Nantes,Mobile
TXN000065,2024-10-06,CLIENT_0070,LCL,Remboursement,Crédit,4494.17,7067.56,Strasbourg,Carte bancaire
TXN000066,2024-07-18,CLIENT_0120,Société Générale,Shopping,Débit,-1996.37,10724.81,Paris,Espèces
TXN000067,2024-10-30,CLIENT_0110,Société Générale,Remboursement,Crédit,3331.85,801.19,Strasbourg,Virement
TXN000068,2024-01-26,CLIENT_0195,LCL,Loisirs,Débit,-533.09,4566.11,Lille,Espèces
TXN000069,2024-05-09,CLIENT_0090,Société Générale,Transport,Débit,-1873.82,307.33,Lyon,Carte bancaire
TXN000070,2024-01-16,CLIENT_0033,LCL,Santé,Débit,-55.85,1861.93,Lyon,Mobile
TXN000071,2024-04-21,CLIENT_0043,La Banque Postale,Virement,Crédit,3512.35,11386.92,Lyon,Virement
TXN000072,2024-06-08,CLIENT_0097,LCL,Transport,Débit,-2322.57,8424.85,Bordeaux,Carte bancaire
TXN000073,2024-10-30,CLIENT_0154,BNP Paribas,Santé,Débit,-1932.34,12679.55,Paris,Prélèvement
TXN000074,2024-09-29,CLIENT_0004,LCL,Épargne,Débit,-177.05,9536.92,Strasbourg,Carte bancaire
TXN000075,2024-08-09,CLIENT_0112,Société Générale,Shopping,Débit,-2072.62,10463.28,Lille,Mobile
TXN000076,2024-10-02,CLIENT_0152,Crédit Agricole,Virement,Crédit,2351.13,12298.89,Toulouse,Virement
TXN000077,2024-02-14,CLIENT_0157,LCL,Loisirs,Crédit,1257.12,6702.98,Toulouse,Carte bancaire
TXN000078,2024-09-10,CLIENT_0088,Crédit Agricole,Shopping,Débit,-534.24,11866.4,Lille,Mobile
TXN000079,2024-01-06,CLIENT_0185,LCL,Salaire,Crédit,4742.91,827.0,Strasbourg,Mobile
TXN000080,2024-05-03,CLIENT_0005,BNP Paribas,Virement,Crédit,3247.22,7107.73,Lille,Virement
TXN000081,2024-07-26,CLIENT_0136,Crédit Agricole,Santé,Débit,-1455.98,6835.54,Nantes,Mobile
TXN000082,2024-06-18,CLIENT_0031,Société Générale,Shopping,Débit,-680.94,3396.76,Toulouse,Carte bancaire
TXN000083,2024-10-01,CLIENT_0151,La Banque Postale,Logement,Débit,-1847.82,3785.74,Lille,Carte bancaire
TXN000084,2024-04-09,CLIENT_0137,Société Générale,Loisirs,Débit,-452.71,-280.7,Lille,Carte bancaire
TXN000085,2024-01-28,CLIENT_0164,LCL,Salaire,Crédit,1496.08,14133.39,Lyon,Carte bancaire
TXN000086,2024-10-20,CLIENT_0014,Crédit Agricole,Loisirs,Débit,-1103.97,2357.64,Strasbourg,Carte bancaire
TXN000087,2024-02-03,CLIENT_0039,Société Générale,Épargne,Débit,-1444.67,10139.99,Lille,Carte bancaire
TXN000088,2024-05-07,CLIENT_0159,Société Générale,Transport,Débit,-1043.35,8739.97,Nantes,Espèces
TXN000089,2024-08-14,CLIENT_0159,BNP Paribas,Loisirs,Crédit,4950.65,4233.39,Lyon,Virement
TXN000090,2024-11-16,CLIENT_0142,BNP Paribas,Santé,Débit,-207.56,3217.91,Marseille,Carte bancaire
TXN000091,2024-07-28,CLIENT_0009,Société Générale,Virement,Crédit,3462.39,6783.64,Lille,Prélèvement
TXN000092,2024-12-25,CLIENT_0068,La Banque Postale,Virement,Crédit,402.34,3118.07,Bordeaux,Espèces
TXN000093,2024-02-28,CLIENT_0069,Société Générale,Salaire,Crédit,1162.81,1809.34,Lyon,Carte bancaire
TXN000094,2024-03-25,CLIENT_0113,BNP Paribas,Loisirs,Débit,-2061.48,13778.48,Strasbourg,Prélèvement
TXN000095,2024-12-24,CLIENT_0021,La Banque Postale,Épargne,Crédit,2527.34,7153.83,Paris,Espèces
TXN000096,2024-06-14,CLIENT_0173,La Banque Postale,Remboursement,Crédit,1289.32,915.57,Paris,Prélèvement
TXN000097,2024-10-22,CLIENT_0114,Crédit Agricole,Alimentation,Débit,-442.1,7543.94,Marseille,Mobile
TXN000098,2024-08-11,CLIENT_0105,Crédit Agricole,Virement,Crédit,4846.82,6785.16,Toulouse,Carte bancaire
TXN000099,2024-03-23,CLIENT_0103,La Banque Postale,Shopping,Débit,-1241.2,9770.04,Paris,Espèces
TXN000100,2024-02-15,CLIENT_0132,BNP Paribas,Shopping,Débit,-294.22,11474.49,Strasbourg,Espèces
TXN000101,2024-01-28,CLIENT_0114,BNP Paribas,Santé,Débit,-1558.47,7226.64,Bordeaux,Prélèvement
TXN000102,2024-10-08,CLIENT_0032,BNP Paribas,Logement,Crédit,2218.67,10322.88,Bordeaux,Virement
TXN000103,2024-06-08,CLIENT_0058,BNP Paribas,Salaire,Crédit,117.69,5823.86,Strasbourg,Carte bancaire
TXN000104,2024-11-27,CLIENT_0070,LCL,Logement,Débit,-1792.93,7387.52,Strasbourg,Espèces
TXN000105,2024-05-04,CLIENT_0154,La Banque Postale,Virement,Crédit,2778.76,5445.58,Marseille,Carte bancaire
TXN000106,2024-05-21,CLIENT_0001,Crédit Agricole,Épargne,Débit,-1970.35,3641.18,Lille,Mobile
TXN000107,2024-10-23,CLIENT_0124,Crédit Agricole,Virement,Crédit,4333.04,6421.48,Toulouse,Mobile
TXN000108,2024-10-05,CLIENT_0179,Société Générale,Épargne,Débit,-807.83,2424.11,Nantes,Virement
TXN000109,2024-07-29,CLIENT_0098,LCL,Alimentation,Débit,-1185.08,13658.17,Marseille,Espèces
TXN000110,2024-01-19,CLIENT_0113,BNP Paribas,Logement,Débit,-1477.5,12980.35,Strasbourg,Carte bancaire
TXN000111,2024-03-14,CLIENT_0068,Crédit Agricole,Épargne,Crédit,4851.29,659.84,Nantes,Carte bancaire
TXN000112,2024-06-17,CLIENT_0184,LCL,Salaire,Crédit,1931.05,4408.25,Paris,Mobile
TXN000113,2024-02-05,CLIENT_0192,BNP Paribas,Santé,Débit,-2302.72,14960.1,Nantes,Carte bancaire
TXN000114,2024-11-20,CLIENT_0012,Crédit Agricole,Transport,Débit,-1736.53,13503.07,Paris,Prélèvement
TXN000115,2024-07-02,CLIENT_0175,Société Générale,Shopping,Débit,-614.27,5886.8,Marseille,Virement
TXN000116,2024-02-10,CLIENT_0062,LCL,Remboursement,Crédit,4360.66,9105.51,Marseille,Virement
TXN000117,2024-08-24,CLIENT_0120,Crédit Agricole,Loisirs,Débit,-1668.77,13433.08,Marseille,Carte bancaire
TXN000118,2024-08-14,CLIENT_0177,Crédit Agricole,Shopping,Crédit,1530.81,14411.45,Strasbourg,Prélèvement
TXN000119,2024-04-11,CLIENT_0092,La Banque Postale,Épargne,Crédit,577.93,5411.15,Lille,Prélèvement
TXN000120,2024-01-12,CLIENT_0191,BNP Paribas,Épargne,Débit,-1416.99,10129.89,Strasbourg,Prélèvement
TXN000121,2024-04-27,CLIENT_0049,La Banque Postale,Remboursement,Crédit,4019.56,2894.57,Lille,Virement
TXN000122,2024-11-17,CLIENT_0113,BNP Paribas,Transport,Crédit,3249.39,4288.46,Toulouse,Virement
TXN000123,2024-02-16,CLIENT_0139,Crédit Agricole,Loisirs,Débit,-1041.68,2612.32,Lille,Virement
TXN000124,2024-05-11,CLIENT_0087,BNP Paribas,Virement,Crédit,4838.55,4074.69,Strasbourg,Carte bancaire
TXN000125,2024-03-13,CLIENT_0143,Crédit Agricole,Santé,Crédit,3634.87,14689.1,Lyon,Espèces
TXN000126,2024-01-08,CLIENT_0173,Crédit Agricole,Loisirs,Débit,-1139.69,9928.84,Nantes,Prélèvement
TXN000127,2024-02-25,CLIENT_0084,La Banque Postale,Santé,Débit,-1550.77,14119.12,Bordeaux,Carte bancaire
TXN000128,2024-11-21,CLIENT_0105,BNP Paribas,Virement,Crédit,4551.47,4183.95,Marseille,Carte bancaire
TXN000129,2024-01-20,CLIENT_0138,Société Générale,Loisirs,Crédit,624.8,3139.4,Nantes,Espèces
TXN000130,2024-07-08,CLIENT_0040,LCL,Salaire,Crédit,2124.68,11005.17,Lyon,Espèces
TXN000131,2024-11-11,CLIENT_0056,LCL,Épargne,Crédit,1434.71,10199.35,Strasbourg,Virement
TXN000132,2024-07-04,CLIENT_0166,Crédit Agricole,Transport,Crédit,1868.31,13476.29,Paris,Espèces
TXN000133,2024-05-21,CLIENT_0024,Société Générale,Santé,Crédit,4747.6,12274.96,Paris,Carte bancaire
TXN000134,2024-06-19,CLIENT_0196,La Banque Postale,Santé,Crédit,3945.54,2680.69,Bordeaux,Mobile
TXN000135,2024-04-20,CLIENT_0001,Crédit Agricole,Santé,Débit,-373.15,13458.23,Marseille,Virement
TXN000136,2024-10-03,CLIENT_0034,BNP Paribas,Loisirs,Débit,-279.27,12929.94,Toulouse,Virement
TXN000137,2024-10-28,CLIENT_0108,La Banque Postale,Shopping,Débit,-667.09,1464.76,Lyon,Carte bancaire
TXN000138,2024-08-31,CLIENT_0028,LCL,Virement,Crédit,3901.18,7455.19,Bordeaux,Mobile
TXN000139,2024-01-23,CLIENT_0008,BNP Paribas,Salaire,Crédit,1543.07,9471.78,Strasbourg,Espèces
TXN000140,2024-08-06,CLIENT_0021,Crédit Agricole,Transport,Débit,-2274.7,639.11,Marseille,Carte bancaire
TXN000141,2024-03-05,CLIENT_0098,La Banque Postale,Loisirs,Débit,-1465.48,10538.37,Lille,Espèces
TXN000142,2024-09-15,CLIENT_0030,La Banque Postale,Remboursement,Crédit,2179.49,11792.99,Bordeaux,Espèces
TXN000143,2024-08-19,CLIENT_0187,BNP Paribas,Santé,Débit,-2069.41,5680.32,Toulouse,Espèces
TXN000144,2024-06-09,CLIENT_0018,BNP Paribas,Loisirs,Débit,-385.83,13806.27,Lyon,Carte bancaire
TXN000145,2024-08-09,CLIENT_0016,La Banque Postale,Transport,Débit,-934.75,1516.79,Toulouse,Carte bancaire
TXN000146,2024-07-29,CLIENT_0185,BNP Paribas,Shopping,Crédit,4708.59,6055.52,Lille,Mobile
TXN000147,2024-06-08,CLIENT_0124,Société Générale,Shopping,Débit,-1270.99,1898.32,Lyon,Prélèvement
TXN000148,2024-10-11,CLIENT_0110,La Banque Postale,Shopping,Débit,-700.03,3005.47,Paris,Mobile
TXN000149,2024-12-02,CLIENT_0087,Crédit Agricole,Loisirs,Débit,-686.81,11317.35,Paris,Virement
TXN000150,2024-03-14,CLIENT_0190,BNP Paribas,Remboursement,Crédit,3303.86,578.57,Lyon,Mobile
TXN000151,2024-04-20,CLIENT_0185,Crédit Agricole,Épargne,Débit,-855.54,5235.82,Lyon,Carte bancaire
TXN000152,2024-03-20,CLIENT_0114,LCL,Logement,Débit,-129.16,764.51,Strasbourg,Mobile
TXN000153,2024-08-14,CLIENT_0111,BNP Paribas,Épargne,Débit,-1888.58,1264.17,Lille,Mobile
TXN000154,2024-09-06,CLIENT_0102,La Banque Postale,Salaire,Crédit,3352.31,203.97,Paris,Carte bancaire
TXN000155,2024-04-14,CLIENT_0075,Crédit Agricole,Loisirs,Crédit,3848.38,11344.49,Lyon,Carte bancaire
TXN000156,2024-09-11,CLIENT_0129,La Banque Postale,Épargne,Débit,-953.62,10406.9,Toulouse,Carte bancaire
TXN000157,2024-07-22,CLIENT_0081,La Banque Postale,Alimentation,Débit,-1152.09,706.87,Nantes,Mobile
TXN000158,2024-07-26,CLIENT_0044,La Banque Postale,Épargne,Débit,-1015.56,14476.1,Strasbourg,Prélèvement
TXN000159,2024-02-15,CLIENT_0135,BNP Paribas,Épargne,Débit,-612.07,8627.5,Nantes,Prélèvement
TXN000160,2024-06-22,CLIENT_0030,La Banque Postale,Santé,Débit,-424.49,7412.49,Bordeaux,Prélèvement
TXN000161,2024-06-28,CLIENT_0155,Société Générale,Logement,Débit,-370.38,2557.71,Lyon,Virement
TXN000162,2024-11-17,CLIENT_0149,LCL,Virement,Crédit,2346.57,8237.9,Toulouse,Prélèvement
TXN000163,2024-03-18,CLIENT_0078,Crédit Agricole,Virement,Crédit,388.02,6354.22,Paris,Prélèvement
TXN000164,2024-09-16,CLIENT_0074,BNP Paribas,Transport,Débit,-1132.53,381.8,Lyon,Mobile
TXN000165,2024-10-31,CLIENT_0190,BNP Paribas,Salaire,Crédit,1953.19,8495.11,Strasbourg,Mobile
TXN000166,2024-11-29,CLIENT_0016,LCL,Santé,Débit,-1191.69,1838.35,Lyon,Prélèvement
TXN000167,2024-02-13,CLIENT_0182,LCL,Salaire,Crédit,3248.33,106.7,Strasbourg,Mobile
TXN000168,2024-09-24,CLIENT_0073,LCL,Remboursement,Crédit,835.79,5279.21,Nantes,Prélèvement
TXN000169,2024-12-13,CLIENT_0086,BNP Paribas,Remboursement,Crédit,309.21,9278.74,Toulouse,Carte bancaire
TXN000170,2024-10-12,CLIENT_0155,Société Générale,Épargne,Débit,-1810.72,9676.74,Toulouse,Carte bancaire
TXN000171,2024-10-25,CLIENT_0170,LCL,Logement,Crédit,1585.65,9668.85,Marseille,Mobile
TXN000172,2024-12-28,CLIENT_0033,La Banque Postale,Transport,Débit,-944.81,11770.76,Lyon,Espèces
TXN000173,2024-09-17,CLIENT_0088,LCL,Shopping,Débit,-775.62,14243.12,Bordeaux,Virement
TXN000174,2024-03-11,CLIENT_0198,La Banque Postale,Logement,Débit,-2111.85,1067.68,Paris,Prélèvement
TXN000175,2024-11-12,CLIENT_0178,La Banque Postale,Logement,Débit,-389.86,2303.11,Marseille,Espèces
TXN000176,2024-01-23,CLIENT_0157,Crédit Agricole,Épargne,Débit,-1800.37,14528.62,Strasbourg,Virement
TXN000177,2024-09-30,CLIENT_0050,Crédit Agricole,Santé,Débit,-2022.52,6769.74,Strasbourg,Espèces
TXN000178,2024-05-24,CLIENT_0052,La Banque Postale,Épargne,Débit,-1049.56,2011.9,Marseille,Prélèvement
TXN000179,2024-01-27,CLIENT_0027,La Banque Postale,Virement,Crédit,4376.88,8095.38,Lyon,Prélèvement
TXN000180,2024-02-12,CLIENT_0112,BNP Paribas,Logement,Débit,-2263.74,1783.9,Bordeaux,Espèces
TXN000181,2024-06-27,CLIENT_0099,BNP Paribas,Alimentation,Débit,-994.15,5296.4,Toulouse,Virement
TXN000182,2024-01-15,CLIENT_0038,Société Générale,Shopping,Crédit,4203.92,9574.39,Paris,Prélèvement
TXN000183,2024-08-29,CLIENT_0021,BNP Paribas,Logement,Débit,-1175.43,9037.9,Lille,Virement
TXN000184,2024-03-17,CLIENT_0109,BNP Paribas,Salaire,Crédit,4704.12,8937.64,Lille,Virement
TXN000185,2024-06-03,CLIENT_0118,BNP Paribas,Transport,Débit,-1052.46,11805.44,Lyon,Espèces
TXN000186,2024-11-01,CLIENT_0062,Société Générale,Salaire,Crédit,131.35,7488.32,Lille,Espèces
TXN000187,2024-01-01,CLIENT_0048,BNP Paribas,Remboursement,Crédit,1796.44,8345.29,Toulouse,Carte bancaire
TXN000188,2024-09-26,CLIENT_0142,BNP Paribas,Salaire,Crédit,2561.27,14819.14,Nantes,Espèces
TXN000189,2024-01-23,CLIENT_0018,Crédit Agricole,Épargne,Crédit,1305.57,-248.25,Bordeaux,Carte bancaire
TXN000190,2024-10-24,CLIENT_0165,Société Générale,Shopping,Débit,-883.99,4747.48,Strasbourg,Espèces
TXN000191,2024-11-19,CLIENT_0118,BNP Paribas,Logement,Débit,-162.44,11530.95,Lille,Virement
TXN000192,2024-01-23,CLIENT_0102,La Banque Postale,Santé,Crédit,1612.2,4306.18,Strasbourg,Prélèvement
TXN000193,2024-01-19,CLIENT_0168,Crédit Agricole,Santé,Débit,-2156.04,240.96,Lille,Carte bancaire
TXN000194,2024-07-07,CLIENT_0099,Crédit Agricole,Épargne,Crédit,3729.37,13366.88,Marseille,Espèces
TXN000195,2024-12-20,CLIENT_0069,BNP Paribas,Virement,Crédit,1868.37,11858.01,Nantes,Carte bancaire
TXN000196,2024-08-08,CLIENT_0076,Crédit Agricole,Remboursement,Crédit,4975.74,2297.08,Lyon,Carte bancaire
TXN000197,2024-06-16,CLIENT_0177,LCL,Loisirs,Débit,-1508.54,6104.8,Toulouse,Espèces
TXN000198,2024-01-22,CLIENT_0015,BNP Paribas,Shopping,Débit,-1090.18,9411.77,Nantes,Prélèvement
TXN000199,2024-09-19,CLIENT_0113,BNP Paribas,Logement,Crédit,756.76,8917.38,Marseille,Carte bancaire
TXN000200,2024-04-30,CLIENT_0040,LCL,Shopping,Débit,-2373.92,1.97,Toulouse,Prélèvement
TXN000201,2024-08-15,CLIENT_0167,Crédit Agricole,Transport,Débit,-1326.0,5669.53,Bordeaux,Carte bancaire
TXN000202,2024-01-14,CLIENT_0068,Crédit Agricole,Logement,Débit,-970.53,8205.93,Strasbourg,Virement
TXN000203,2024-11-09,CLIENT_0035,BNP Paribas,Loisirs,Débit,-2496.58,2602.76,Strasbourg,Virement
TXN000204,2024-08-15,CLIENT_0171,Crédit Agricole,Transport,Débit,-2419.07,14791.91,Lyon,Mobile
TXN000205,2024-10-04,CLIENT_0180,Société Générale,Loisirs,Crédit,4264.24,10533.04,Toulouse,Mobile
TXN000206,2024-04-24,CLIENT_0127,BNP Paribas,Transport,Crédit,3970.73,3169.41,Toulouse,Mobile
TXN000207,2024-10-20,CLIENT_0023,BNP Paribas,Shopping,Débit,-2457.61,1511.45,Lille,Espèces
TXN000208,2024-09-02,CLIENT_0148,BNP Paribas,Salaire,Crédit,2083.44,5846.22,Marseille,Prélèvement
TXN000209,2024-11-24,CLIENT_0200,La Banque Postale,Transport,Débit,-1701.87,4839.98,Marseille,Virement
TXN000210,2024-08-09,CLIENT_0032,La Banque Postale,Salaire,Crédit,4558.03,358.9,Marseille,Prélèvement
TXN000211,2024-03-25,CLIENT_0133,Crédit Agricole,Logement,Débit,-1774.78,4863.36,Lyon,Prélèvement
TXN000212,2024-04-10,CLIENT_0158,La Banque Postale,Salaire,Crédit,1408.53,9187.85,Lyon,Mobile
TXN000213,2024-11-24,CLIENT_0160,La Banque Postale,Logement,Débit,-1453.71,2153.61,Toulouse,Mobile
TXN000214,2024-01-22,CLIENT_0068,Société Générale,Alimentation,Débit,-2371.62,11450.85,Nantes,Mobile
TXN000215,2024-11-23,CLIENT_0078,LCL,Alimentation,Débit,-1569.77,3989.91,Bordeaux,Espèces
TXN000216,2024-06-01,CLIENT_0113,LCL,Virement,Crédit,411.22,428.65,Strasbourg,Espèces
TXN000217,2024-04-14,CLIENT_0188,Crédit Agricole,Shopping,Débit,-784.89,10634.62,Nantes,Virement
TXN000218,2024-07-08,CLIENT_0120,BNP Paribas,Salaire,Crédit,2830.17,4446.3,Lille,Espèces
TXN000219,2024-05-06,CLIENT_0158,LCL,Logement,Débit,-729.08,5454.32,Bordeaux,Virement
TXN000220,2024-06-16,CLIENT_0041,LCL,Remboursement,Crédit,3619.59,2442.43,Strasbourg,Espèces
TXN000221,2024-06-06,CLIENT_0130,LCL,Virement,Crédit,164.72,14151.11,Bordeaux,Virement
TXN000222,2024-10-25,CLIENT_0168,LCL,Shopping,Débit,-706.98,8761.54,Lille,Mobile
TXN000223,2024-01-05,CLIENT_0196,LCL,Transport,Débit,-2206.73,10776.37,Toulouse,Carte bancaire
TXN000224,2024-07-24,CLIENT_0019,LCL,Alimentation,Débit,-490.66,8074.96,Strasbourg,Mobile
TXN000225,2024-05-23,CLIENT_0025,LCL,Remboursement,Crédit,3417.97,1341.57,Toulouse,Prélèvement
TXN000226,2024-10-12,CLIENT_0129,BNP Paribas,Shopping,Débit,-501.65,7391.4,Paris,Carte bancaire
TXN000227,2024-03-11,CLIENT_0132,Société Générale,Shopping,Débit,-1300.74,1808.58,Toulouse,Mobile
TXN000228,2024-06-12,CLIENT_0152,Crédit Agricole,Logement,Débit,-1543.17,12560.33,Strasbourg,Mobile
TXN000229,2024-06-02,CLIENT_0173,BNP Paribas,Virement,Crédit,4087.96,5209.55,Nantes,Mobile
TXN000230,2024-06-06,CLIENT_0199,La Banque Postale,Alimentation,Débit,-667.5,9661.66,Bordeaux,Carte bancaire
TXN000231,2024-10-25,CLIENT_0159,LCL,Virement,Crédit,894.03,9249.89,Marseille,Virement
TXN000232,2024-01-17,CLIENT_0005,LCL,Remboursement,Crédit,4743.62,1203.38,Toulouse,Espèces
TXN000233,2024-03-18,CLIENT_0121,BNP Paribas,Épargne,Débit,-1028.89,11512.07,Marseille,Mobile
